SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
50.2,24090,19972,1180.6,2937.6,849.47,400,0.37709,0.30457,0.028373,0.044152
50.25,24034,19935,1182.5,2916,851.43,400,0.37626,0.30401,0.028418,0.043827
50.3,23978,19899,1184.4,2894.4,853.39,400,0.37542,0.30346,0.028464,0.043503
50.35,23921,19862,1186.3,2872.8,855.36,400,0.37459,0.3029,0.028509,0.043178
50.4,23865,19826,1188.2,2851.2,857.34,400,0.37375,0.30234,0.028555,0.042854
50.45,23809,19789,1190.2,2829.6,859.33,400,0.37291,0.30178,0.028602,0.042529
50.5,23752,19752,1192.1,2808,861.33,400,0.37208,0.30122,0.028648,0.042204
50.55,23696,19716,1194.1,2786.4,863.33,400,0.37124,0.30066,0.028695,0.04188
50.6,23640,19679,1196,2764.8,865.35,400,0.3704,0.3001,0.028743,0.041555
50.65,23583,19642,1198,2743.2,867.38,400,0.36956,0.29954,0.02879,0.04123
50.7,23526,19605,1200,2721.6,869.41,400,0.36872,0.29897,0.028838,0.040906
50.75,23470,19568,1202,2700,871.46,400,0.36788,0.29841,0.028887,0.040581
50.8,23413,19531,1204.1,2678.4,873.52,400,0.36703,0.29784,0.028936,0.040256
50.85,23356,19493,1206.1,2656.8,875.58,400,0.36619,0.29727,0.028985,0.039932
50.9,23299,19456,1208.1,2635.2,877.65,400,0.36535,0.29671,0.029034,0.039607
50.95,23243,19419,1210.2,2613.6,879.74,400,0.3645,0.29614,0.029084,0.039282
51,23186,19381,1212.3,2592,881.83,400,0.36366,0.29557,0.029134,0.038958
51.05,23129,19344,1214.4,2570.4,883.94,400,0.36281,0.29499,0.029184,0.038633
51.1,23072,19306,1216.5,2548.8,886.05,400,0.36196,0.29442,0.029235,0.038308
51.15,23014,19269,1218.7,2527.2,888.18,400,0.36112,0.29385,0.029286,0.037984
51.2,22957,19231,1220.8,2505.6,890.31,400,0.36027,0.29327,0.029338,0.037659
51.25,22900,19193,1223,2484,892.46,400,0.35942,0.29269,0.02939,0.037335
51.3,22843,19155,1225.1,2462.4,894.61,400,0.35857,0.29212,0.029442,0.03701
51.35,22785,19117,1227.3,2440.8,896.78,400,0.35772,0.29154,0.029495,0.036685
51.4,22728,19079,1229.5,2419.2,898.96,400,0.35686,0.29096,0.029548,0.036361
51.45,22670,19041,1231.8,2397.6,901.14,400,0.35601,0.29037,0.029602,0.036036
51.5,22613,19003,1234,2376,903.34,400,0.35516,0.28979,0.029656,0.035711
51.55,22555,18964,1236.3,2354.4,905.55,400,0.3543,0.28921,0.02971,0.035387
51.6,22497,18926,1238.6,2332.8,907.77,400,0.35345,0.28862,0.029765,0.035062
51.65,22440,18888,1240.9,2311.2,910,400,0.35259,0.28804,0.02982,0.034737
51.7,22382,18849,1243.2,2289.6,912.24,400,0.35174,0.28745,0.029876,0.034413
51.75,22324,18810,1245.5,2268,914.49,400,0.35088,0.28686,0.029931,0.034088
51.8,22266,18772,1247.8,2246.4,916.76,400,0.35002,0.28627,0.029988,0.033763
51.85,22208,18733,1250.2,2224.8,919.03,400,0.34916,0.28568,0.030045,0.033439
51.9,22150,18694,1252.6,2203.2,921.32,400,0.3483,0.28508,0.030102,0.033114
51.95,22092,18655,1255,2181.6,923.62,400,0.34744,0.28449,0.03016,0.032789
52,22033,18616,1257.4,2160,925.93,400,0.34658,0.28389,0.030218,0.032465
52.05,21975,18577,1259.8,2138.4,928.25,400,0.34571,0.2833,0.030276,0.03214
52.1,21917,18538,1262.3,2116.8,930.58,400,0.34485,0.2827,0.030335,0.031816
52.15,21858,18498,1264.8,2095.2,932.92,400,0.34398,0.2821,0.030395,0.031491
52.2,21800,18459,1267.3,2073.6,935.28,400,0.34312,0.2815,0.030455,0.031166
52.25,21741,18419,1269.8,2052,937.65,400,0.34225,0.2809,0.030515,0.030842
52.3,21683,18380,1272.3,2030.4,940.03,400,0.34138,0.28029,0.030576,0.030517
52.35,21624,18340,1274.9,2008.8,942.42,400,0.34052,0.27969,0.030637,0.030192
52.4,21565,18300,1277.4,1987.2,944.82,400,0.33965,0.27908,0.030699,0.029868
52.45,21506,18260,1280,1965.6,947.24,400,0.33878,0.27847,0.030762,0.029543
52.5,21447,18221,1282.6,1944,949.67,400,0.33791,0.27786,0.030824,0.029218
52.55,21388,18180,1285.3,1922.4,952.11,400,0.33703,0.27725,0.030888,0.028894
52.6,21329,18140,1287.9,1900.8,954.56,400,0.33616,0.27664,0.030951,0.028569
52.65,21270,18100,1290.6,1879.2,957.03,400,0.33529,0.27603,0.031016,0.028244
52.7,21211,18060,1293.3,1857.6,959.51,400,0.33441,0.27541,0.03108,0.02792
52.75,21151,18019,1296,1836,962,400,0.33353,0.27479,0.031146,0.027595
52.8,21092,17979,1298.8,1814.4,964.51,400,0.33266,0.27418,0.031212,0.02727
52.85,21032,17938,1301.5,1792.8,967.02,400,0.33178,0.27356,0.031278,0.026946
52.9,20973,17897,1304.3,1771.2,969.56,400,0.3309,0.27293,0.031345,0.026621
52.95,20913,17857,1307.1,1749.6,972.1,400,0.33002,0.27231,0.031412,0.026296
53,20854,17816,1309.9,1728,974.66,400,0.32914,0.27169,0.03148,0.025972
53.05,20794,17775,1312.8,1706.4,977.23,400,0.32826,0.27106,0.031549,0.025647
53.1,20734,17733,1315.7,1684.8,979.82,400,0.32737,0.27043,0.031618,0.025323
53.15,20674,17692,1318.6,1663.2,982.41,400,0.32649,0.26981,0.031688,0.024998
53.2,20614,17651,1321.5,1641.6,985.03,400,0.32561,0.26917,0.031758,0.024673
53.25,20554,17609,1324.4,1620,987.65,400,0.32472,0.26854,0.031829,0.024349
53.3,20494,17568,1327.4,1598.4,990.3,400,0.32383,0.26791,0.0319,0.024024
53.35,20433,17526,1330.4,1576.8,992.95,400,0.32294,0.26727,0.031972,0.023699
53.4,20373,17484,1333.4,1555.2,995.62,400,0.32205,0.26664,0.032044,0.023375
53.45,20312,17442,1336.5,1533.6,998.3,400,0.32116,0.266,0.032118,0.02305
53.5,20252,17400,1339.5,1512,1001,400,0.32027,0.26536,0.032191,0.022725
53.55,20191,17358,1342.6,1490.4,1003.7,400,0.31938,0.26471,0.032266,0.022401
53.6,20131,17316,1345.7,1468.8,1006.4,400,0.31849,0.26407,0.032341,0.022076
