SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
55.3,18011,15807,1469.6,734.4,1108.9,400,0.060528,0.024106,0.035318,0.0011038
55.4,17883,15713,1478.2,691.2,1115.6,400,0.060525,0.023963,0.035523,0.0010389
55.5,17754,15619,1486.9,648,1122.3,400,0.060525,0.023819,0.035732,0.00097394
55.6,17625,15524,1495.7,604.8,1129.2,400,0.060529,0.023674,0.035945,0.00090901
55.7,17495,15429,1504.8,561.6,1136.1,400,0.060535,0.023529,0.036162,0.00084408
55.8,17365,15332,1514,518.4,1143.1,400,0.060544,0.023382,0.036383,0.00077916
55.9,17234,15236,1523.3,475.2,1150.2,400,0.060557,0.023234,0.036609,0.00071423
56,17103,15138,1532.9,432,1157.4,400,0.060573,0.023085,0.036839,0.0006493
56.1,16971,15040,1542.7,388.8,1164.7,400,0.060593,0.022936,0.037073,0.00058437
56.2,16839,14941,1552.6,345.6,1172.1,400,0.060616,0.022785,0.037312,0.00051944
56.3,16706,14841,1562.8,302.4,1179.5,400,0.060643,0.022633,0.037556,0.00045451
56.4,16573,14741,1573.1,259.2,1187.1,400,0.060674,0.02248,0.037805,0.00038958
56.5,16439,14640,1583.7,216,1194.7,400,0.060709,0.022326,0.038058,0.00032465
56.6,16305,14538,1594.4,172.8,1202.5,400,0.060747,0.02217,0.038317,0.00025972
56.7,16170,14435,1605.4,129.6,1210.4,400,0.06079,0.022014,0.038581,0.00019479
56.8,16035,14332,1616.7,86.4,1218.3,400,0.060837,0.021856,0.038851,0.00012986
56.9,15899,14228,1628.1,43.2,1226.4,400,0.060889,0.021697,0.039126,6.493e-05
57,15762,14123,1639.8,0,1234.6,400,0.060944,0.021537,0.039407,0
57.1,15695,14040,1655.6,0,1242.9,402.68,0.061198,0.021411,0.039788,0
57.2,15628,13956,1671.8,0,1251.3,405.41,0.06146,0.021282,0.040177,0
57.3,15559,13870,1688.4,0,1259.8,408.16,0.061729,0.021152,0.040576,0
57.4,15490,13784,1705.4,0,1268.4,410.96,0.062005,0.021021,0.040984,0
57.5,15419,13697,1722.8,0,1277.1,413.79,0.06229,0.020887,0.041403,0
57.6,15348,13608,1740.7,0,1286,416.67,0.062583,0.020752,0.041831,0
57.7,15277,13518,1758.9,0,1295,419.58,0.062885,0.020615,0.04227,0
57.8,15204,13426,1777.7,0,1304.1,422.54,0.063196,0.020475,0.04272,0
57.9,15131,13334,1796.8,0,1313.4,425.53,0.063516,0.020334,0.043181,0
58,15057,13240,1816.5,0,1322.8,428.57,0.063845,0.020191,0.043654,0
58.1,14981,13145,1836.7,0,1332.3,431.65,0.064185,0.020046,0.044139,0
58.2,14905,13048,1857.4,0,1341.9,434.78,0.064534,0.019898,0.044636,0
58.3,14829,12950,1878.6,0,1351.7,437.96,0.064895,0.019749,0.045146,0
