Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV29	
42470.2083333333	62.855	3240	
42482.1666666667	62.855	3240	
42487.1770833333	62.9073170731707	3240	
42476.1666666667	62.9253846153846	3888	
42476.2291666667	62.9363157894737	5184	
42461.09375	62.96	1944	
42461.1041666667	62.96	1944	
42461.1145833333	62.96	1944	
42461.125	62.96	3240	
42461.1458333333	62.96	3240	
42461.15625	62.96	3240	
42470.125	62.96	3240	
42470.1354166667	62.96	3240	
42470.1458333333	62.96	3240	
42470.15625	62.96	3240	
42470.1666666667	62.96	3240	
42470.1770833333	62.96	3240	
42470.1875	62.96	3240	
42470.1979166667	62.96	3240	
42470.3229166667	62.96	2592	
42473.9583333333	62.96	2592	
42473.96875	62.96	3888	
42473.9791666667	62.96	3240	
42487.1666666667	62.96	3240	
42487.2083333333	62.96	3240	
42487.21875	62.96	2592	
42487.2291666667	62.96	1944	
42487.2395833333	62.96	3240	
42466.4270833333	63.0615384615385	6480	
42462.4791666667	63.077	2592	
42461.4166666667	63.086	5184	
42461.5416666667	63.086	1944	
42487.25	63.086	3240	
42467.9479166667	63.104	3888	
42473.9479166667	63.104	1944	
42482.15625	63.104	3240	
42468.9791666667	63.164	3888	
42476.25	63.1903225806452	3888	
42461.5833333333	63.221	3240	
42461.53125	63.224	1944	
42474.4583333333	63.2613043478261	6480	
42480.4375	63.281	6480	
42463.8854166667	63.314	3888	
42484.09375	63.314	3240	
42470.3333333333	63.317	2592	
42461.4270833333	63.356	5832	
42461.5520833333	63.356	1944	
42487.2604166667	63.356	3240	
42464.90625	63.368	3888	
42468.3645833333	63.368	7128	
42467.9375	63.374	3888	
42473.9375	63.374	1944	
42482.1458333333	63.374	3240	
42463.4375	63.422	3888	
42469.375	63.422	2592	
42475.4791666667	63.422	6480	
42481.4166666667	63.422	7128	
42484.3333333333	63.422	2592	
42473.4166666667	63.455	7776	
42464.4166666667	63.548	7776	
42465.9375	63.578	3240	
42466.875	63.578	3888	
42461.4375	63.626	5832	
42461.5625	63.626	1944	
42487.2708333333	63.626	3240	
42462.8229166667	63.632	0	
42467.9270833333	63.644	4536	
42473.9270833333	63.644	3240	
42482.1354166667	63.644	3240	
42474.8229166667	63.6486956521739	3888	
42483.3333333333	63.674	3240	
42476.2604166667	63.6838709677419	4536	
42461.5208333333	63.719	1944	
42480.4479166667	63.776	6480	
42463.875	63.809	1296	
42484.0833333333	63.809	1944	
42482.34375	63.842	5184	
42467.3958333333	63.884	4536	
42468.96875	63.884	1944	
42461.4479166667	63.896	3888	
42461.5729166667	63.896	1944	
42487.28125	63.896	1944	
42474.46875	63.9069565217391	7776	
