Date	ZoneLoadforContainerFPVAV14	ZoneLoadResidualforContainerFPVAV14	
42515.0416666667	nan	nan	
42515.0520833333	nan	nan	
42515.0625	nan	nan	
42515.0729166667	nan	nan	
42515.0833333333	nan	nan	
42515.09375	nan	nan	
42515.1041666667	nan	nan	
42515.1145833333	nan	nan	
42515.125	nan	nan	
42515.1354166667	nan	nan	
42515.1458333333	nan	nan	
42515.15625	nan	nan	
42515.1666666667	nan	nan	
42515.1770833333	nan	nan	
42515.1875	nan	nan	
42515.1979166667	nan	nan	
42515.2083333333	nan	nan	
42515.21875	nan	nan	
42515.2291666667	nan	nan	
42515.2395833333	nan	nan	
42515.25	nan	nan	
42515.2604166667	nan	nan	
42515.2708333333	nan	nan	
42515.28125	nan	nan	
42515.2916666667	nan	nan	
42515.3020833333	nan	nan	
42515.3125	nan	nan	
42515.3229166667	nan	nan	
42515.3333333333	nan	nan	
42515.34375	nan	nan	
42515.3541666667	nan	nan	
42515.3645833333	nan	nan	
42515.375	nan	nan	
42515.3854166667	nan	nan	
42515.3958333333	nan	nan	
42515.40625	nan	nan	
42515.4166666667	9072	18900	
42515.4270833333	7938	26460	
42515.4375	5670	28539	
42515.4479166667	2646	29862	
42515.4583333333	1890	30429	
42515.46875	3780	23247	
42515.4791666667	5670	19467	
42515.4895833333	7560	21735	
42515.5	5670	14742	
42515.5104166667	4158	8883	
42515.5208333333	756	12474	
42515.53125	756	14742	
42515.5416666667	5292	22869	
42515.5520833333	9072	23436	
42515.5625	8316	25893	
42515.5729166667	6426	28161	
42515.5833333333	6426	16632	
42515.59375	5292	17766	
42515.6041666667	2646	20034	
42515.6145833333	756	18900	
42515.625	4914	15687	
42515.6354166667	6048	15309	
42515.6458333333	5670	17577	
42515.65625	4536	19089	
42515.6666666667	4914	28728	
42515.6770833333	4536	29484	
42515.6875	1134	32886	
42515.6979166667	378	33642	
42515.7083333333	nan	nan	
42515.71875	nan	nan	
42515.7291666667	nan	nan	
42515.7395833333	nan	nan	
42515.75	nan	nan	
42515.7604166667	nan	nan	
42515.7708333333	nan	nan	
42515.78125	nan	nan	
42515.7916666667	nan	nan	
