Date	OADryBulbTemperature(NOAA)	AHU13MixedAirTemp	
42496.9895833333	66.548	67.96	
42481.1875	66.5507692307692	69.56	
42505.3645833333	66.56	71.37	
42498.3125	66.575	70.56	
42501.1875	66.575	70.84	
42501.2708333333	66.575	66.7	
42479.3854166667	66.5803773584906	68.87	
42481.2916666667	66.5884210526316	65.97	
42488.09375	66.59	69.33	
42492.71875	66.59	69.11	
42498.09375	66.59	68.92	
42501.09375	66.59	70.84	
42495.3333333333	66.608	68.39	
42484.9791666667	66.6125	71.14	
42492.5	66.62	65.12	
42505.15625	66.62	71.5	
42492.6770833333	66.6468965517241	69.4	
42476.3229166667	66.6533333333333	69.63	
42481.53125	66.656	59.4	
42492.65625	66.656	67.54	
42501.2083333333	66.668	70.82	
42484	66.689	68.67	
42492.5833333333	66.689	66.81	
42481.4583333333	66.723125	68.62	
42483.3541666667	66.734	69.99	
42492.53125	66.7353846153846	69.37	
42478.28125	66.74	66.28	
42480.9791666667	66.779	69.18	
42481.9791666667	66.779	68.42	
42498.3229166667	66.8	70.62	
42501.1979166667	66.8	70.84	
42501.28125	66.8	66.28	
42488.0833333333	66.815	69.23	
42492.7083333333	66.815	68.96	
42498.0833333333	66.815	69.06	
42501.0833333333	66.815	70.82	
42492.6666666667	66.8331034482759	68.66	
42485.1458333333	66.851724137931	71.17	
42481.1770833333	66.8969230769231	69.55	
42478.0833333333	66.92	70.03	
42478.125	66.92	69.99	
42478.21875	66.92	69.97	
42478.2916666667	66.92	66.17	
42478.3020833333	66.92	69.05	
42478.3125	66.92	67.5	
42478.46875	66.92	68.3	
42481.28125	66.92	66.42	
42481.5416666667	66.92	61.2	
42481.5520833333	66.92	65.3	
42483.9583333333	66.92	71.57	
42483.96875	66.92	70.44	
42483.9791666667	66.92	69.66	
42483.9895833333	66.92	69.12	
42488.21875	66.92	70.07	
42488.2291666667	66.92	70.1	
42488.2395833333	66.92	70.12	
42488.25	66.92	70.14	
42488.2604166667	66.92	66.97	
42492.5416666667	66.92	69.41	
42492.5520833333	66.92	69.4	
42492.5625	66.92	69.11	
42492.5729166667	66.92	66.81	
42494.9583333333	66.92	68.34	
42494.96875	66.92	68.45	
42494.9791666667	66.92	68.53	
42494.9895833333	66.92	68.64	
42505.125	66.92	71.47	
42505.1354166667	66.92	71.47	
42505.1458333333	66.92	71.47	
42505.8333333333	66.92	71.43	
42505.84375	66.92	71.43	
42505.8541666667	66.92	71.41	
42505.8645833333	66.92	71.42	
42505.875	66.92	71.42	
42505.8854166667	66.92	71.4	
42505.8958333333	66.92	71.41	
42505.90625	66.92	71.4	
42505.9166666667	66.92	71.4	
42505.9270833333	66.92	71.39	
42505.9375	66.92	71.39	
42505.9479166667	66.92	71.39	
42505.9583333333	66.92	71.39	
42505.96875	66.92	71.37	
42505.9791666667	66.92	71.37	
42505.9895833333	66.92	71.37	
42505.1145833333	67.064	71.46	
42505.8229166667	67.1163636363636	71.42	
42479.3958333333	67.1407547169811	66.27	
42497.3541666667	67.148	70.59	
42476.3333333333	67.172	69.63	
42498.3333333333	67.172	70.71	
42484.96875	67.175	71.14	
42482.9375	67.193	67.77	
42483.9479166667	67.208	73.16	
42488.0729166667	67.208	69.14	
42498.0729166667	67.208	69.32	
42480.96875	67.274	69.14	
42481.96875	67.274	68.31	
42484.375	67.277	70.34	
42487.375	67.277	66.87	
42501.2916666667	67.277	66.05	
42488.2708333333	67.31	66.56	
42485.1354166667	67.3172413793103	71.17	
42505.375	67.3178947368421	71.37	
42495.9895833333	67.328	68.71	
42478.1354166667	67.3314285714286	70	
42505.1041666667	67.334	71.46	
42478.4791666667	67.352	67.97	
42478.2708333333	67.388	66.54	
42494.4166666667	67.403	67.82	
42492.0833333333	67.4363157894737	71.49	
42480.5520833333	67.472	59.57	
42494.9479166667	67.472	68.24	
42501.0729166667	67.472	70.81	
42505.8125	67.4845454545455	71.41	
42478.9895833333	67.496	69.46	
42482.375	67.508	68.27	
42478.0625	67.5153846153846	70.06	
42496.9791666667	67.538	67.92	
42505.09375	67.604	71.46	
42485.1666666667	67.6072727272727	71.17	
42479.40625	67.7011320754717	64.08	
42476.34375	67.712	69.61	
42498.34375	67.712	70.75	
42487.1458333333	67.736	70.49	
42484.9583333333	67.7375	71.12	
42483.9375	67.748	75.74	
42488.0625	67.748	69.03	
42498.0625	67.748	69.69	
42488.28125	67.76	66.24	
42480.9583333333	67.769	69.1	
42481.9583333333	67.769	68.18	
42485.125	67.7827586206897	71.19	
