Date	OADryBulbTemperatureNOAA	VariableTotalPower	FanplusCoolingEnergyAHUActualExponent2forAHU23
42664.5729166667	72.632	18992.4256148375	39970.6509333333
42664.5833333333	73.04	18571.4568458556	40201.9955333333
42664.59375	73.04	17856.4663885759	36582.3587333333
42664.6041666667	73.04	17857.0558499808	34496.53515
42664.6145833333	73.04	18000.4598994872	34863.95115
42664.625	73.271	18747.0499715139	34605.5059333333
42664.6354166667	73.766	18067.3505275413	34993.2707333333
42664.6458333333	74.261	17750.9474058355	36614.316
42664.65625	74.756	18344.1570706679	36348.9187333333
42664.6666666667	74.894	17901.9696319856	33759.3576833333
42664.6770833333	74.624	18348.9746756581	33395.7301333333
42664.6875	74.354	20126.3459556391	33135.168
42664.6979166667	74.084	18776.6153090638	33136.2404833333
42667.4375	74.309	26240.3419913039	29932.2933333333
42667.4583333333	77.126	27505.3560136201	31634.7944833334
42667.4791666667	77.666	26650.2431277249	38859.1600833333
42667.4895833333	77.936	26177.1361762336	40057.55355
42667.5	78.311	24909.3533149279	42830.9112
42667.5208333333	79.301	23775.9950997219	39270.3400833333
42667.5625	80.615	28918.2713349969	54218.4472833333
42667.5729166667	80.84	29237.813041315	53474.7971333333
42667.5833333333	81.086	33054.6257312935	52580.54235
42667.6041666667	81.626	31871.3600450987	48776.6116833333
42667.6145833333	81.896	33763.263926047	53895.5720833334
42667.625	82.04	37490.3365619822	55334.64
42667.65625	82.04	40545.363177717	46697.0428833333
42667.6666666667	82.04	37655.7161815708	42552.0560833333
42667.6979166667	82.04	32542.3905060596	49557.0552833334
42668.375	64.2102702702703	17882.4412690442	30065.1656833333
42668.3854166667	64.5751351351351	18204.5784928325	31449.5484833333
42668.3958333333	64.94	20488.9117050868	33417.9533333333
42668.40625	66.2654545454545	20793.6571462431	36647.8901333333
42668.4166666667	67.8094117647059	20106.07835921	36078.6816833333
42668.4270833333	69.5404651162791	21014.8987806556	33525.4883333333
42668.4375	70.9218604651163	20160.7932305959	33203.6832
42668.4479166667	72.3032558139535	21321.9926097418	34197.64275
42668.4583333333	73.502	22728.9436187476	37659.96795
42668.46875	74.492	24914.017998783	39111.7854
42668.4791666667	75.482	24990.5447749921	37255.6813333333
42668.4895833333	76.472	25206.7781626615	37754.2869333334
42668.5	77.126	25368.711179601	38652.7923333334
42668.5104166667	77.396	26131.9956481686	39005.35155
42668.5208333333	77.666	26437.9619313609	38580.5406
42668.53125	77.936	25194.6391700055	39377.6269333333
42668.5416666667	78.311	28418.6025749105	43520.2716833333
42668.5520833333	78.806	29965.1812406536	42853.6072833333
42668.5625	79.301	33080.638110654	39011.1157333333
42668.5729166667	79.796	34215.3798470755	39482.2197333333
42668.5833333333	80.165	33306.8090576393	45932.7701333333
42668.59375	80.39	30441.0897436911	53209.7720833333
42668.6041666667	80.615	28701.7410229214	57425.9219333333
42668.6145833333	80.84	30660.5418812507	57126.3404833334
42668.625	80.855	29406.5836272339	54013.1502
42668.6354166667	80.63	27648.2251786334	47675.0048833333
42668.6458333333	80.405	27463.4265393632	44121.84075
42668.65625	80.18	27087.1703874536	42940.50435
42668.6666666667	80.165	26885.2932973457	40564.4629333333
42668.6770833333	80.39	29744.7198700554	47438.36955
42668.6875	80.615	30481.2958724371	49377.8595333333
42668.6979166667	80.84	30877.3053024323	49182.1628833334
42669.375	68.588	20706.2208593448	29919.1264833333
42669.3854166667	69.848	20729.6936564913	30955.6565333333
42669.3958333333	71.108	21221.8946389161	31783.1427333333
42669.40625	72.368	21478.2171639589	31506.5813333333
42669.4166666667	73.502	22416.2597031665	38558.7280833334
42669.4270833333	74.492	23826.3113603092	27155.0483333333
42669.4375	75.482	23905.5543382328	33895.8307333334
42669.4479166667	76.472	30344.5207943899	34106.508
42669.4583333333	77.231	29983.8076292849	31925.9277333333
42669.46875	77.726	35023.713821081	37553.52
42669.4791666667	78.221	41401.4262296609	37369.5600833333
42669.4895833333	78.716	41270.8825194543	39038.65275
42669.5	79.052	37519.3059926055	39117.98475
42669.5104166667	79.592	39431.896102384	36801.9160833333
42669.5208333333	80.132	37712.4768834223	37369.5600833333
42669.53125	80.672	34349.7582752008	37396.2453333333
42669.5416666667	81.086	32124.2628563627	37096.4286
42669.5520833333	81.356	31638.2469738247	40984.7125333333
42669.5625	81.626	30025.9675478257	42517.7208
42669.5729166667	81.896	31372.0455507889	42016.5763333333
42669.5833333333	82.271	34676.0298466317	43274.2782
42669.59375	82.766	33854.8299698216	44022.4008833333
42669.6041666667	83.261	35761.1899059226	49755.74475
42669.6145833333	83.756	36557.9488985974	50426.29155
42669.625	84.02	38060.3051604238	49872.8387333333
42669.6354166667	84.02	34660.9891574238	51907.3485333333
42669.6458333333	84.02	30269.3569000484	52536.2901333333
42669.65625	84.02	29212.599155838	54668.2003333333
42669.6666666667	84.125	29775.2996391865	55391.5523333333
42669.6770833333	84.35	31686.5682086275	56370.2340833333
42669.6875	84.575	33762.8285645547	54816.24
42669.6979166667	84.8	35641.1014375862	50510.2584
42670.375	69.416	19303.7900418946	27577.1560833333
42670.3854166667	70.136	19813.4974017583	28199.4168
42670.3958333333	70.856	20277.4642420142	28741.5053333333
42670.40625	71.576	20631.7980941288	28996.4516833333
42670.4166666667	72.422	22174.0178849969	31078.0557333333
42670.4270833333	73.412	22969.3032076985	33024.6453333333
42670.4375	74.402	23409.581089943	34197.8382
42670.4479166667	75.392	24551.9628912285	33418.41915
42670.4583333333	76.403	25060.8062788513	31463.70075
