Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42405.4270833333	14580	-747.189999999999	
42405.4479166667	14256	-650.869999999999	
42405.4583333333	13608	-647.360000000001	
42405.46875	16200	216.400000000001	
42405.4791666667	15228	254.55	
42405.4895833333	14904	-186.46	
42405.5	17172	681.919999999998	
42405.5208333333	15876	766.639999999999	
42405.53125	15552	793.549999999999	
42405.5416666667	13608	-93.6599999999999	
42405.5520833333	13932	-283.289999999999	
42405.5625	16200	-270.190000000001	
42405.5833333333	18468	-114.21	
42405.59375	19116	-613.23	
42405.6458333333	14256	686.41	
42405.65625	9720	473.26	
42405.6666666667	8748	942.07	
42405.6875	11340	-646.360000000001	
42405.6979166667	10692	859.84	
42408.375	12960	405.709999999999	
42408.3854166667	13284	455.870000000001	
42408.40625	13932	-128.9	
42408.4270833333	16200	-158.170000000001	
42408.4375	11988	324.37	
42408.4479166667	16524	-619.259999999998	
42408.4583333333	14904	814.98	
42408.46875	14904	-582.639999999999	
42408.4791666667	17172	669.959999999999	
42408.4895833333	16848	729.760000000002	
42408.5	20412	302.85	
42408.5104166667	20412	-560.049999999999	
42408.5208333333	16524	750.690000000002	
42408.5520833333	12960	699.869999999999	
42408.5625	11664	961	
42408.5729166667	14580	-290.33	
42408.5833333333	12636	-620.27	
42408.59375	16524	-272.200000000001	
42408.6145833333	15228	-589.16	
42408.625	13608	385.83	
42408.6354166667	12636	258.36	
42408.6458333333	14904	686.41	
42408.6666666667	11340	-652.380000000001	
42408.6875	12960	-260.139999999999	
42408.6979166667	10044	401.74	
42409.3854166667	12960	-322.059999999999	
42409.3958333333	12636	-302.43	
42409.40625	11664	-333.639999999999	
42409.4270833333	14580	-165.76	
42409.4479166667	17820	-74.5200000000004	
42409.4583333333	17820	-364.809999999999	
42409.46875	17172	792.549999999999	
42409.4791666667	20736	-196.68	
42409.4895833333	22356	-386.969999999999	
42409.5	16524	771.619999999999	
42409.5104166667	13608	792.059999999998	
42409.5208333333	11340	196.07	
42409.53125	10692	250	
42409.5416666667	13608	702.860000000001	
42409.5520833333	15228	674.450000000001	
42409.5625	17172	-132.28	
42409.5729166667	18792	596.700000000001	
42409.5833333333	21060	-509.380000000001	
42409.59375	19116	-519.920000000002	
42409.6041666667	16848	-538.990000000002	
42409.6145833333	18468	-573.600000000002	
42409.625	19116	367.92	
42409.6354166667	21060	-119.24	
42409.6458333333	18468	-528.450000000001	
42409.65625	15228	-715.579999999998	
42409.6875	16200	268.889999999999	
42409.6979166667	12636	-303.93	
42410.375	17172	372.91	
42410.3854166667	17172	-537.490000000002	
42410.3958333333	18468	-237.469999999999	
42410.4166666667	23652	-109.13	
42410.4375	17820	-311.460000000001	
42410.4583333333	21384	-497.34	
42410.5	21708	214.9	
42410.5104166667	21060	-134.390000000001	
42410.53125	20736	-442.66	
42410.5416666667	20088	254.51	
42410.5520833333	20412	-560.049999999999	
42410.5625	20412	643.040000000001	
42410.5729166667	21060	311.29	
42410.5833333333	21060	-148.53	
42410.59375	20736	224.8	
42410.6145833333	18792	-537.98	
42410.625	15228	302.56	
42410.6354166667	13284	747.209999999999	
42410.6666666667	14904	-296.369999999999	
42410.6770833333	14580	-654.880000000001	
42410.6875	15228	-126.859999999999	
42411.3854166667	18792	710.82	
42411.3958333333	21708	257.97	
42411.40625	21708	-297.85	
42411.4166666667	21384	-614.23	
42411.4270833333	20412	-526.939999999999	
42411.4375	21708	280.5	
42411.4479166667	21384	-189.130000000001	
42411.46875	21384	286.459999999999	
42411.4791666667	21060	241.14	
42411.4895833333	21060	371.39	
42411.5	21060	218.86	
42411.5208333333	20736	309.8	
42411.53125	21708	-118.73	
42411.5416666667	20412	-490.82	
42411.5520833333	21060	196.09	
42411.5625	21060	-183.59	
42411.5729166667	21060	180.82	
42411.5833333333	20412	-72.28	
42411.59375	20736	262.120000000001	
42411.6041666667	20412	574.27	
42411.625	20736	429	
42411.6354166667	21060	561.809999999998	
42411.6666666667	13284	-602.709999999999	
42411.6875	16524	595.209999999999	
42411.6979166667	17820	198.12	
42416.375	18144	-102.76	
42416.3958333333	15876	271.38	
42416.40625	18468	-711.060000000001	
42416.4166666667	22356	360.46	
42416.4270833333	19764	-310.440000000001	
42416.4375	20736	-457.709999999999	
42416.4479166667	21060	-112.68	
42416.46875	19764	-688.48	
42416.4791666667	19440	-604.200000000001	
42416.5	20412	553.34	
42416.5104166667	21060	-117.22	
42416.5208333333	22356	-136.27	
42416.53125	23004	518.449999999999	
42416.5416666667	22032	-92.97	
42416.5520833333	20736	-194.16	
42416.5729166667	20088	-151.380000000001	
42416.59375	20088	511.48	
42416.6145833333	20088	292.42	
42416.625	20736	183.04	
42416.6354166667	20412	121.813333333334	
42416.6458333333	19116	106.51	
42416.65625	16524	-143.51	
42416.6666666667	15876	-523.939999999999	
42416.6770833333	18792	-75	
42416.6875	19440	183.72	
42416.6979166667	19440	101.895	
