Date	AHU21MixedAirTemp	MixedAirTempPredictionforContainerAHU21	
42464.9166666667	nan	nan	
42464.9270833333	nan	nan	
42464.9375	nan	nan	
42464.9479166667	nan	nan	
42464.9583333333	nan	nan	
42464.96875	nan	nan	
42464.9791666667	nan	nan	
42464.9895833333	nan	nan	
42465	nan	nan	
42465.0104166667	nan	nan	
42465.0208333333	nan	nan	
42465.03125	nan	nan	
42465.0416666667	nan	nan	
42465.0520833333	nan	nan	
42465.0625	nan	nan	
42465.0729166667	nan	nan	
42465.0833333333	nan	nan	
42465.09375	nan	nan	
42465.1041666667	nan	nan	
42465.1145833333	nan	nan	
42465.125	nan	nan	
42465.1354166667	nan	nan	
42465.1458333333	nan	nan	
42465.15625	nan	nan	
42465.1666666667	nan	nan	
42465.1770833333	nan	nan	
42465.1875	nan	nan	
42465.1979166667	nan	nan	
42465.2083333333	nan	nan	
42465.21875	nan	nan	
42465.2291666667	nan	nan	
42465.2395833333	nan	nan	
42465.25	nan	nan	
42465.2604166667	nan	nan	
42465.2708333333	nan	nan	
42465.28125	nan	nan	
42465.2916666667	nan	nan	
42465.3020833333	nan	nan	
42465.3125	nan	nan	
42465.3229166667	nan	nan	
42465.3333333333	69.57	69.07	
42465.34375	69.74	69.585	
42465.3541666667	69.92	69.64	
42465.3645833333	70.13	69.735	
42465.375	70.29	69.94	
42465.3854166667	70.4	70.555	
42465.3958333333	70.78	70.67	
42465.40625	70.91	70.67	
42465.4166666667	71.05	70.85	
42465.4270833333	71.02	70.865	
42465.4375	70.82	70.85	
42465.4479166667	70.64	70.835	
42465.4583333333	70.56	70.695	
42465.46875	70.6	70.615	
42465.4791666667	70.7	70.605	
42465.4895833333	70.77	70.575	
42465.5	70.79	70.66	
42465.5104166667	70.89	70.715	
42465.5208333333	71.01	70.81	
42465.53125	71.05	70.825	
42465.5416666667	71.12	70.83	
42465.5520833333	71.17	70.885	
42465.5625	71.16	70.96	
42465.5729166667	71.19	71.27	
42465.5833333333	71.21	71.185	
42465.59375	71.24	70.945	
42465.6041666667	71.28	70.74	
42465.6145833333	71.32	70.74	
42465.625	71.36	70.81	
42465.6354166667	71.37	70.845	
42465.6458333333	71.45	70.94	
42465.65625	71.47	70.94	
42465.6666666667	71.44	71.01	
42465.6770833333	71.48	71.01	
42465.6875	71.52	71.01	
42465.6979166667	71.56	70.99	
42465.7083333333	71.51	70.965	
42465.71875	71.44	70.965	
42465.7291666667	71.42	70.955	
42465.7395833333	71.33	70.965	
42465.75	nan	nan	
42465.7604166667	nan	nan	
42465.7708333333	nan	nan	
42465.78125	nan	nan	
42465.7916666667	nan	nan	
42465.8020833333	nan	nan	
42465.8125	nan	nan	
42465.8229166667	nan	nan	
42465.8333333333	nan	nan	
42465.84375	nan	nan	
42465.8541666667	nan	nan	
42465.8645833333	nan	nan	
42465.875	nan	nan	
42465.8854166667	nan	nan	
42465.8958333333	nan	nan	
42465.90625	nan	nan	
42465.9166666667	nan	nan	
42465.9270833333	nan	nan	
42465.9375	nan	nan	
42465.9479166667	nan	nan	
42465.9583333333	nan	nan	
42465.96875	nan	nan	
42465.9791666667	nan	nan	
42465.9895833333	nan	nan	
42466	nan	nan	
42466.0104166667	nan	nan	
42466.0208333333	nan	nan	
42466.03125	nan	nan	
42466.0416666667	nan	nan	
42466.0520833333	nan	nan	
42466.0625	nan	nan	
42466.0729166667	nan	nan	
42466.0833333333	nan	nan	
42466.09375	nan	nan	
42466.1041666667	nan	nan	
42466.1145833333	nan	nan	
42466.125	nan	nan	
42466.1354166667	nan	nan	
42466.1458333333	nan	nan	
42466.15625	nan	nan	
42466.1666666667	nan	nan	
42466.1770833333	nan	nan	
42466.1875	nan	nan	
42466.1979166667	nan	nan	
42466.2083333333	nan	nan	
42466.21875	nan	nan	
42466.2291666667	nan	nan	
42466.2395833333	nan	nan	
42466.25	nan	nan	
42466.2604166667	nan	nan	
42466.2708333333	nan	nan	
42466.28125	nan	nan	
42466.2916666667	nan	nan	
42466.3020833333	nan	nan	
42466.3125	nan	nan	
42466.3229166667	nan	nan	
42466.3333333333	70.84	70.455	
42466.34375	71.06	70.2799987792969	
42466.3541666667	71.29	70.2949981689454	
42466.3645833333	71.56	70.3099975585938	
42466.375	70.93	70.9	
42466.3854166667	71.02	70.95	
42466.3958333333	70.94	70.7300015258789	
42466.40625	70.77	70.9100036621094	
42466.4166666667	70.66	70.8400004577637	
42466.4270833333	70.7	70.7299995422363	
42466.4375	70.66	70.7399989318847	
42466.4479166667	70.7	70.7599989318848	
42466.4583333333	70.81	70.66	
42466.46875	70.91	70.71	
42466.4791666667	70.96	70.805	
42466.4895833333	71.06	70.83	
42466.5	71.1	70.83	
42466.5104166667	71.16	70.825	
42466.5208333333	71.16	70.825	
42466.53125	71.19	70.83	
42466.5416666667	71.14	70.8449992370605	
42466.5520833333	71.31	70.9549995422364	
42466.5625	71.26	71.11	
42466.5729166667	71.37	71.185	
42466.5833333333	71.41	71.195	
42466.59375	71.39	71.225	
42466.6041666667	71.44	71.25	
42466.6145833333	71.39	71.27	
42466.625	71.37	71.25	
42466.6354166667	71.41	71.25	
42466.6458333333	71.32	71.235	
42466.65625	71.32	71.22	
42466.6666666667	71.32	71.2	
42466.6770833333	71.41	71.2850010681153	
42466.6875	71.36	71.375	
42466.6979166667	71.24	71.545	
42466.7083333333	71.19	71.565	
42466.71875	71.07	71.53	
42466.7291666667	71.02	71.445	
42466.7395833333	70.99	71.385	
42466.75	nan	nan	
42466.7604166667	nan	nan	
42466.7708333333	nan	nan	
42466.78125	nan	nan	
42466.7916666667	nan	nan	
42466.8020833333	nan	nan	
42466.8125	nan	nan	
42466.8229166667	nan	nan	
42466.8333333333	nan	nan	
42466.84375	nan	nan	
42466.8541666667	nan	nan	
42466.8645833333	nan	nan	
42466.875	nan	nan	
42466.8854166667	nan	nan	
42466.8958333333	nan	nan	
42466.90625	nan	nan	
42466.9166666667	nan	nan	
42466.9270833333	nan	nan	
42466.9375	nan	nan	
42466.9479166667	nan	nan	
42466.9583333333	nan	nan	
42466.96875	nan	nan	
42466.9791666667	nan	nan	
42466.9895833333	nan	nan	
42467	nan	nan	
42467.0104166667	nan	nan	
42467.0208333333	nan	nan	
42467.03125	nan	nan	
42467.0416666667	nan	nan	
42467.0520833333	nan	nan	
42467.0625	nan	nan	
42467.0729166667	nan	nan	
42467.0833333333	nan	nan	
42467.09375	nan	nan	
42467.1041666667	nan	nan	
42467.1145833333	nan	nan	
42467.125	nan	nan	
42467.1354166667	nan	nan	
42467.1458333333	nan	nan	
42467.15625	nan	nan	
42467.1666666667	nan	nan	
42467.1770833333	nan	nan	
42467.1875	nan	nan	
42467.1979166667	nan	nan	
42467.2083333333	nan	nan	
42467.21875	nan	nan	
42467.2291666667	nan	nan	
42467.2395833333	nan	nan	
42467.25	nan	nan	
42467.2604166667	nan	nan	
42467.2708333333	nan	nan	
42467.28125	nan	nan	
42467.2916666667	nan	nan	
42467.3020833333	nan	nan	
42467.3125	nan	nan	
42467.3229166667	nan	nan	
42467.3333333333	69.09	68.46	
42467.34375	69.27	68.66	
42467.3541666667	69.57	69.47	
42467.3645833333	69.97	69.61	
42467.375	70.26	69.73	
42467.3854166667	70.26	70.2999984741211	
42467.3958333333	70.79	70.68	
42467.40625	70.79	70.87	
42467.4166666667	70.71	70.86	
42467.4270833333	70.72	70.93	
42467.4375	70.62	70.895	
42467.4479166667	70.67	70.7899983215332	
42467.4583333333	70.54	70.85	
42467.46875	70.57	70.7799987792969	
42467.4791666667	70.56	70.8149998474121	
42467.4895833333	70.6	70.9650006103516	
42467.5	70.66	71.1750018310547	
42467.5104166667	70.74	71.24	
42467.5208333333	70.81	71.285	
42467.53125	70.81	71.285	
42467.5416666667	70.91	71.285	
42467.5520833333	71	71.28	
42467.5625	71.11	71.28	
42467.5729166667	71.21	71.28	
42467.5833333333	71.23	71.28	
42467.59375	71.32	71.285	
42467.6041666667	71.35	71.3149987792969	
42467.6145833333	71.39	71.3299981689453	
42467.625	71.37	71.3650003051758	
42467.6354166667	71.46	71.3849996948242	
42467.6458333333	71.57	71.3899996948242	
42467.65625	71.67	71.39	
42467.6666666667	71.7	71.39	
42467.6770833333	71.71	71.3899993896484	
42467.6875	71.72	71.379998626709	
42467.6979166667	71.78	71.3600006103516	
42467.7083333333	71.74	71.3600006103516	
42467.71875	71.67	71.3549995422364	
42467.7291666667	71.69	71.3299992370605	
42467.7395833333	71.65	71.2749977111817	
42467.75	nan	nan	
42467.7604166667	nan	nan	
42467.7708333333	nan	nan	
42467.78125	nan	nan	
42467.7916666667	nan	nan	
42467.8020833333	nan	nan	
42467.8125	nan	nan	
42467.8229166667	nan	nan	
42467.8333333333	nan	nan	
42467.84375	nan	nan	
42467.8541666667	nan	nan	
42467.8645833333	nan	nan	
42467.875	nan	nan	
42467.8854166667	nan	nan	
42467.8958333333	nan	nan	
42467.90625	nan	nan	
42467.9166666667	nan	nan	
42467.9270833333	nan	nan	
42467.9375	nan	nan	
42467.9479166667	nan	nan	
42467.9583333333	nan	nan	
42467.96875	nan	nan	
42467.9791666667	nan	nan	
42467.9895833333	nan	nan	
42468	nan	nan	
42468.0104166667	nan	nan	
42468.0208333333	nan	nan	
42468.03125	nan	nan	
42468.0416666667	nan	nan	
42468.0520833333	nan	nan	
42468.0625	nan	nan	
42468.0729166667	nan	nan	
42468.0833333333	nan	nan	
42468.09375	nan	nan	
42468.1041666667	nan	nan	
42468.1145833333	nan	nan	
42468.125	nan	nan	
42468.1354166667	nan	nan	
42468.1458333333	nan	nan	
42468.15625	nan	nan	
42468.1666666667	nan	nan	
42468.1770833333	nan	nan	
42468.1875	nan	nan	
42468.1979166667	nan	nan	
42468.2083333333	nan	nan	
42468.21875	nan	nan	
42468.2291666667	nan	nan	
42468.2395833333	nan	nan	
42468.25	nan	nan	
42468.2604166667	nan	nan	
42468.2708333333	nan	nan	
42468.28125	nan	nan	
42468.2916666667	nan	nan	
42468.3020833333	nan	nan	
42468.3125	nan	nan	
42468.3229166667	nan	nan	
42468.3333333333	70.64	70.08	
42468.34375	71.02	69.94	
42468.3541666667	71.21	70.63	
42468.3645833333	71.45	70.815	
42468.375	70.76	70.965	
42468.3854166667	71.03	70.995	
42468.3958333333	71.07	70.96	
42468.40625	71	70.91	
42468.4166666667	70.92	70.7450016784668	
42468.4270833333	70.89	70.8399992370605	
42468.4375	70.87	70.8550003051758	
42468.4479166667	70.9	70.9350007629395	
42468.4583333333	70.92	70.9799989318848	
42468.46875	70.97	70.97	
42468.4791666667	70.97	70.95	
