Date	OADryBulbTemperatureNOAA	ZoneReheatEnergyforContainerFPVAV213	
42410.40625	53.432	-970.920000000001	
42410.4166666667	54.422	-1088.98560000001	
42410.4270833333	55.412	-604.800000000002	
42410.4375	56.402	-1046.51999999999	
42410.4479166667	57.392	-1371.7728	
42410.4583333333	58.277	-1086.65280000001	
42410.46875	59.042	-1547.59679999999	
42410.4791666667	59.807	-1023.5808	
42410.4895833333	60.572	-446.169599999992	
42410.5	61.337	-893.159999999998	
42410.5104166667	62.102	-1358.98560000001	
42410.5208333333	62.867	-1033.55999999999	
42410.53125	63.632	-1383.09120000001	
42410.5416666667	64.502	-1562.76	
42410.5520833333	65.492	-1045.44	
42410.5625	66.482	-876.959999999997	
42410.5729166667	67.472	-1378.08	
42410.5833333333	68.126	-1335.95999999999	
42410.59375	68.396	-1310.03999999999	
42410.6041666667	68.666	-1469.88	
42410.6145833333	68.936	-1670.76	
42410.625	69.185	-1153.44	
42410.6354166667	69.41	-699.235200000003	
42410.6458333333	69.635	-632.879999999998	
42410.65625	69.86	-1107.1296	
42410.6666666667	69.98	-1476.36	
42410.6770833333	69.98	-1499.04000000001	
42410.6875	69.98	-1169.64	
42410.6979166667	69.98	-668.52	
42411.375	58.634	-639.359999999999	
42411.3854166667	60.164	-1100.52000000001	
42411.3958333333	61.694	-1277.59679999999	
42411.40625	63.224	-1227.96	
42411.4166666667	64.628	-1124.28	
42411.4270833333	65.888	-1221.48	
42411.4375	67.148	-1179.36	
42411.4479166667	68.408	-1172.88	
42411.4583333333	69.542	-1407.24	
42411.46875	70.532	-1065.95999999999	
42411.4791666667	71.522	-1149.7248	
42411.4895833333	72.512	-1085.4	
42411.5	73.502	-1397.52	
42411.5104166667	74.492	-1145.75040000001	
42411.5208333333	75.482	-1461.28320000001	
42411.53125	76.472	-746.280000000003	
42411.5416666667	77.126	-1221.26400000001	
42411.5520833333	77.396	-704.160000000001	
42411.5625	77.666	-1499.6448	
42411.5729166667	77.936	-1329.47999999999	
42411.5833333333	78.185	-1237.68	
42411.59375	78.41	-652.319999999999	
42411.6041666667	78.635	-873.719999999997	
42411.6145833333	78.86	-662.04	
42411.625	78.98	-1165.70879999999	
42411.6354166667	78.98	-1046.51999999999	
42411.6458333333	78.98	-831.599999999996	
42411.65625	78.98	-307.799999999996	
42411.6666666667	78.875	-522.719999999994	
42411.6770833333	78.65	-516.239999999994	
42411.6875	78.425	-548.985600000013	
42411.6979166667	78.2	-425.174399999988	
42416.375	57.713	-1107.9504	
42416.3854166667	59.198	-1142.64000000001	
42416.3958333333	60.683	-1213.6608	
42416.40625	62.168	-1140.13439999999	
42416.4166666667	64.01	-1062.71999999999	
42416.4270833333	66.26	-832.680000000001	
42416.4375	68.51	-770.039999999993	
42416.4479166667	70.76	-1433.16	
42416.4583333333	72.317	-229.910399999998	
42416.46875	73.082	-635.385600000011	
42416.4791666667	73.847	-1025.04959999999	
42416.4895833333	74.612	-1310.03999999999	
42416.5	75.251	-1531.44000000001	
42416.5104166667	75.746	-704.160000000001	
42416.5208333333	76.241	-387.676799999996	
42416.53125	76.736	-1557.35999999999	
42416.5416666667	77.126	-343.439999999998	
42416.5520833333	77.396	-899.510400000003	
42416.5625	77.666	-775.440000000004	
42416.5729166667	77.936	-571.319999999996	
42416.5833333333	78.185	-1299.7152	
42416.59375	78.41	-772.761599999998	
42416.6041666667	78.635	-753.580800000003	
42416.6145833333	78.86	-739.065600000015	
42416.625	78.875	-739.065600000015	
42416.6354166667	78.65	-748.655999999989	
42416.6458333333	78.425	-584.279999999997	
42416.65625	78.2	-747.359999999993	
42416.6666666667	78.08	-473.601600000012	
42416.6770833333	78.08	-497.879999999998	
42416.6875	78.08	-747.359999999993	
42416.6979166667	78.08	-574.300799999991	
42417.375	55.376	-759.240000000003	
42417.3854166667	56.096	-1012.52160000001	
42417.3958333333	56.816	-1360.71359999999	
42417.40625	57.536	-813.585600000002	
42417.4166666667	58.403	-935.452800000008	
42417.4270833333	59.438	-666.921599999999	
42417.4375	60.473	-1301.44320000001	
42417.4479166667	61.508	-1008.97919999999	
42417.4583333333	62.522	-1285.71839999999	
42417.46875	63.512	-498.441600000008	
42417.4791666667	64.502	-1289.6928	
42417.4895833333	65.492	-1269.7344	
42417.5	66.251	-1415.05919999999	
42417.5104166667	66.746	-352.727999999999	
42417.5208333333	67.241	-871.689599999997	
42417.53125	67.736	-1233.70560000001	
42417.5416666667	68.357	-450.14400000001	
42417.5520833333	69.122	-827.107199999997	
42417.5625	69.887	-629.639999999998	
42417.5729166667	70.652	-557.280000000006	
42417.5833333333	71.165	-1598.74560000001	
42417.59375	71.39	-582.681600000011	
42417.6041666667	71.615	-187.920000000007	
42417.6145833333	71.84	-1242.00000000001	
42417.625	72.086	-1379.16	
42417.6354166667	72.356	-447.120000000002	
42417.6458333333	72.626	-635.299199999984	
42417.65625	72.896	-600.479999999997	
42417.6666666667	72.914	-759.671999999987	
42417.6770833333	72.644	-280.411200000005	
42417.6875	72.374	-561.599999999996	
42417.6979166667	72.104	-1020.25439999999	
42418.375	57.713	-1335.13919999999	
42418.3854166667	59.198	-1422.31679999999	
42418.3958333333	60.683	-1184.88959999999	
42418.40625	62.168	-1460.59199999999	
42418.4166666667	63.317	-1318.68	
42418.4270833333	64.082	-1406.16000000001	
42418.4375	64.847	-1489.32000000001	
42418.4479166667	65.612	-1510.70400000001	
42418.4583333333	66.8404651162791	-1665.36	
42418.46875	68.5986046511628	-1445.7312	
42418.4791666667	70.3567441860465	-925.559999999999	
42418.4895833333	70.4882352941176	-1704.24	
42418.5	70.442	-1941.84	
42418.5104166667	71.432	-1612.43999999999	
42418.5208333333	72.422	-1121.04	
42418.53125	73.412	-1222.56000000001	
42418.5416666667	74.171	-1323.82080000001	
42418.5520833333	74.666	-1131.84	
42418.5625	75.161	-923.400000000004	
42418.5729166667	75.656	-1864.08	
42418.5833333333	76.277	-525.959999999994	
42418.59375	77.042	-891.215999999995	
42418.6041666667	77.807	-831.599999999996	
42418.6145833333	78.572	-1162.51199999999	
42418.625	78.98	-919.555199999996	
42418.6354166667	78.98	-906.768000000005	
42418.6458333333	78.98	-583.934399999994	
42418.65625	78.98	-849.225600000004	
42418.6666666667	78.749	-1031.0544	
42418.6770833333	78.254	-936.360000000005	
42418.6875	77.759	-438.480000000006	
42418.6979166667	77.264	-524.448000000006	
42419.375	62.522	-1309.5648	
42419.3854166667	63.512	-1317.2544	
42419.3958333333	64.502	-1027.55520000001	
42419.40625	65.492	-1355.7888	
42419.4166666667	66.482	-1360.1088	
42419.4270833333	67.472	-1859.75999999999	
42419.4375	68.462	-831.599999999996	
42419.4479166667	69.452	-1088.64	
42419.4583333333	70.1755172413793	-861.840000000002	
42419.46875	70.5944827586207	-591.753600000005	
42419.4791666667	71.0134482758621	-978.480000000006	
42419.4895833333	71.4324137931035	-1076.76	
42419.5	72.422	-652.665600000001	
42419.5104166667	73.412	-1033.55999999999	
42419.5208333333	74.402	-1230.12	
42419.53125	75.392	-1226.88	
42419.5416666667	76.277	-962.280000000006	
42419.5520833333	77.042	-946.511999999989	
42419.5625	77.807	-852.508800000002	
42419.5729166667	78.572	-715.651199999996	
42419.5833333333	78.98	-946.080000000005	
42419.59375	78.98	-855.360000000002	
42419.6041666667	78.98	-1274.5728	
42419.6145833333	78.98	-1058.4864	
42419.625	79.106	-878.040000000003	
42419.6354166667	79.376	-709.559999999996	
42419.6458333333	79.646	-887.760000000003	
42419.65625	79.916	-913.680000000004	
42419.6666666667	79.829	-923.400000000004	
42419.6770833333	79.334	-858.600000000002	
42419.6875	78.839	-1078.3584	
42419.6979166667	78.344	-1065.95999999999	
42422.375	60.7947058823529	-1052.99999999999	
42422.3854166667	60.3976470588235	-1179.36	
42422.3958333333	59.81	-1279.71360000001	
42422.40625	59.4628571428571	-1493.25119999999	
42422.4166666667	59.9425454545455	-1442.016	
42422.4270833333	59.648	-1692.9216	
42422.4375	59.3534545454545	-1696.63679999998	
42422.4479166667	59.0589090909091	-1544.5728	
42422.4583333333	59.135	-1726.57439999999	
42422.46875	59.2907692307692	-1953.3312	
42422.4791666667	59.6023076923077	-1761.52320000001	
42422.4895833333	59.9138461538462	-1713.5712	
42422.5	60.6105263157895	-1733.4	
42422.5104166667	61.7473684210526	-1723.16160000001	
42422.5208333333	62.8842105263158	-857.347200000003	
42422.53125	63.6472727272727	-959.731199999995	
42422.5416666667	64.1975	-1082.59199999999	
42422.5520833333	64.535	-983.750400000006	
42422.5625	64.8725	-986.90400000001	
42422.5729166667	64.4	-999.518399999993	
42422.5833333333	64.145	-900.720000000003	
42422.59375	64.37	-1010.88000000001	
42422.6041666667	64.595	-617.198399999994	
42422.6145833333	64.82	-1226.10239999999	
42422.625	64.94	-1046.51999999999	
42422.6354166667	64.94	-910.440000000004	
42422.6458333333	64.94	-820.713599999993	
42422.65625	64.94	-1014.4224	
42422.6666666667	64.94	-1116.0288	
42422.6770833333	64.94	-999.47520000001	
42422.6875	64.94	-1246.32	
42422.6979166667	64.94	-1893.24	
42423.375	61.1755172413793	-1261.05120000001	
42423.3854166667	61.5944827586207	-1269.17280000001	
42423.3958333333	62.0134482758621	-1376.6976	
42423.40625	62.4324137931035	-1427.8464	
42423.4166666667	61.8309090909091	-1169.64	
42423.4270833333	61.34	-1352.59199999999	
42423.4375	60.98	-1235.17439999999	
42423.4479166667	60.32	-1400.11199999999	
42423.4583333333	59	-1892.59199999999	
42423.46875	59.36	-1066.2624	
42423.4791666667	60.71	-1223.25119999999	
42423.4895833333	62.06	-1179.92160000001	
42423.5	62.82875	-1601.6832	
42423.5104166667	62.5475	-1678.27679999999	
42423.5208333333	62.26625	-962.668800000006	
42423.53125	61.4	-974.160000000001	
42423.5416666667	59.7324137931034	-1080	
42423.5520833333	58.9875862068966	-1535.76	
42423.5625	58.2427586206897	-888.883200000006	
42423.5729166667	57.4979310344828	-818.639999999995	
42423.5833333333	57.3751351351351	-1069.19999999999	
42423.59375	56.2075675675676	-1346.02560000001	
42423.6041666667	55.04	-461.289600000002	
42423.6145833333	54.335652173913	-1482.84000000001	
42423.625	53.498	-1426.37759999999	
42423.6354166667	52.508	-1435.31999999999	
42423.6458333333	51.518	-1558.44	
42423.65625	50.528	-1656.0288	
42423.6666666667	50	-1621.08000000001	
42423.6770833333	50	-1049.75999999999	
42423.6875	50	-1379.16	
42423.6979166667	50	-1293.83999999999	
42424.375	47.297	-1038.5712	
42424.3854166667	48.062	-705.326400000003	
42424.3958333333	48.827	-1173.96	
42424.40625	49.592	-859.420800000017	
42424.4166666667	50.462	-845.769599999996	
42424.4270833333	51.452	-878.5152	
42424.4375	52.442	-743.990400000013	
42424.4479166667	53.432	-623.159999999998	
42424.4583333333	54.086	-1081.08000000001	
42424.46875	54.356	-1147.00320000001	
42424.4791666667	54.626	-1173.83040000001	
42424.4895833333	54.896	-586.137600000003	
42424.5	55.376	-691.113600000004	
42424.5104166667	56.096	-759.110400000008	
42424.5208333333	56.816	-1079.3088	
42424.53125	57.536	-882.187199999999	
42424.5416666667	58.046	-462.931200000002	
42424.5520833333	58.316	-836.697600000002	
42424.5625	58.586	-813.369599999995	
42424.5729166667	58.856	-769.564799999996	
42424.5833333333	59.126	-1110.24000000001	
42424.59375	59.396	-397.439999999995	
42424.6041666667	59.666	-240.883200000013	
42424.6145833333	59.936	-1197.6768	
42424.625	60.185	-975.628800000007	
42424.6354166667	60.41	-815.399999999995	
42424.6458333333	60.635	-993.600000000002	
42424.65625	60.86	-882.359999999993	
42424.6666666667	60.875	-948.585600000002	
42424.6770833333	60.65	-1100.52000000001	
42424.6875	60.425	-905.039999999993	
42424.6979166667	60.2	-888.839999999993	
42425.375	52.235	-635.039999999993	
42425.3854166667	54.71	-616.377599999994	
42425.3958333333	57.185	-804.7296	
42425.40625	59.66	-942.01919999999	
42425.4166666667	61.106	-612.359999999993	
42425.4270833333	61.376	-671.76	
42425.4375	61.646	-930.873599999998	
42425.4479166667	61.916	-1254.96000000001	
42425.4583333333	62.396	-569.635199999998	
42425.46875	63.116	-605.750400000013	
42425.4791666667	63.836	-121.564800000002	
42425.4895833333	64.556	-95.2991999999989	
42425.5	65.171	-193.320000000002	
42425.5104166667	65.666	-424.440000000001	
42425.5208333333	66.161	-364.175999999995	
42425.53125	66.656	-78.8832000000065	
42425.5416666667	67.046	198.201600000002	
42425.5520833333	67.316	-870.0048	
42425.5625	67.586	-335.059199999993	
42425.5729166667	67.856	-197.078399999998	
42425.5833333333	67.874	-16.2000000000006	
42425.59375	67.604	-328.190400000007	
42425.6041666667	67.334	-477.70560000001	
42425.6145833333	67.064	-609.984000000006	
42425.625	66.92	-301.104000000004	
42425.6354166667	66.92	-141.264000000008	
42425.6458333333	66.92	-454.809600000002	
42425.65625	66.92	-82.727999999999	
42425.6666666667	66.689	-301.36320000001	
42425.6770833333	66.194	-809.395200000008	
42425.6875	65.699	-815.788799999996	
42425.6979166667	65.204	-1339.8048	
42426.375	47.423	1530.8352	
42426.3854166667	48.458	1677.24	
42426.3958333333	49.493	1449.18719999999	
42426.40625	50.528	1352.0736	
42426.4166666667	51.311	-824.040000000006	
42426.4270833333	51.806	-1097.28000000001	
42426.4375	52.301	-144.979199999991	
42426.4479166667	52.796	-383.011200000004	
42426.4583333333	53.396	-847.799999999996	
42426.46875	54.116	-1091.88	
42426.4791666667	54.836	-1029.456	
42426.4895833333	55.556	-559.526399999997	
42426.5	56.066	-256.132800000003	
42426.5104166667	56.336	-203.990400000013	
42426.5208333333	56.606	-12.4416000000048	
42426.53125	56.876	-170.640000000001	
42426.5416666667	57.125	-152.8416	
42426.5520833333	57.35	97.9776000000049	
42426.5625	57.575	-635.299199999984	
42426.5729166667	57.8	-127.267200000001	
42426.5833333333	58.046	7.04160000000968	
42426.59375	58.316	-245.548800000005	
42426.6041666667	58.586	-638.582399999997	
42426.6145833333	58.856	-191.203200000006	
42426.625	59.231	49.9392000000125	
42426.6354166667	59.726	-191.203200000006	
42426.6458333333	60.221	-180.360000000002	
42426.65625	60.716	-167.400000000001	
42426.6666666667	61.211	-180.360000000002	
42426.6770833333	61.706	-612.921600000002	
42426.6875	62.201	-1014.11999999999	
42426.6979166667	62.696	-1001.16000000001	
42429.375	64.46	-850.9536	
42429.3854166667	65.885	-775.440000000004	
42429.3958333333	66.545	-466.560000000002	
42429.40625	66.92	-865.295999999994	
42429.4166666667	67.1423529411765	-719.884800000004	
42429.4375	68.2284615384615	-1691.28	
42429.4583333333	70.445652173913	-942.840000000005	
42429.46875	71.4434782608696	-1027.07999999999	
42429.4791666667	72.4413043478261	-1104.84	
42429.4895833333	73.04	-720.316799999988	
42429.5	73.271	-622.339199999998	
42429.5208333333	74.261	-889.142399999997	
42429.53125	74.756	-1102.68	
42429.5416666667	75.02	-1316.8224	
42429.5520833333	75.02	-861.840000000002	
42429.5729166667	75.02	-1267.7472	
42429.5833333333	75.02	-1331.6832	
42429.6041666667	75.02	-794.448000000006	
42429.6145833333	75.02	-1496.18880000001	
42429.625	75.251	-1256.04	
42429.6354166667	75.746	-667.008000000011	
42429.6458333333	76.241	-1071.79199999999	
42429.6666666667	77	-1262.52	
42429.6770833333	77	-871.560000000002	
42429.6875	77	-920.160000000004	
42429.6979166667	77	-1226.88	
42430.375	68.126	-691.200000000001	
42430.3854166667	68.396	-899.639999999998	
42430.3958333333	68.666	-961.113600000004	
42430.40625	68.936	-1479.6864	
42430.4166666667	69.416	-1339.8048	
42430.4270833333	70.136	-1040.03999999999	
42430.4375	70.856	-1004.5728	
42430.4479166667	71.576	-894.240000000003	
42430.4583333333	72.1337931034483	-1024.92	
42430.46875	72.5062068965517	-1018.44	
42430.4791666667	72.8786206896552	-1047.42719999999	
42430.4895833333	73.2510344827586	-1026.1728	
42430.5	73.376	-1061.16479999999	
42430.5104166667	74.096	-1138.4064	
42430.5208333333	74.816	-969.839999999996	
42430.53125	75.536	-1229.38560000001	
42430.5416666667	76.046	-950.399999999995	
42430.5520833333	76.316	-1196.64	
42430.5625	76.586	-975.240000000006	
42430.5729166667	76.856	-788.486400000001	
42430.5833333333	77.231	-848.534399999999	
42430.59375	77.726	-1184.6304	
42430.6041666667	78.221	-1394.45280000001	
42430.6145833333	78.716	-1411.60320000002	
42430.625	78.875	-1542.672	
42430.6354166667	78.65	-1366.07040000001	
42430.6458333333	78.425	-1216.2528	
42430.65625	78.2	-1242.5184	
42430.6666666667	77.723	-1183.4208	
42430.6770833333	76.958	-1180.1376	
42430.6875	76.193	-1176.85439999999	
42430.6979166667	75.428	-1429.31520000001	
42431.375	55.628	-788.400000000004	
42431.3854166667	56.888	-811.080000000005	
42431.3958333333	58.148	-1029.24	
42431.40625	59.408	-430.704000000009	
42431.4166666667	60.416	-667.95839999999	
42431.4270833333	61.136	-585.360000000002	
42431.4375	61.856	-1238.76000000001	
42431.4479166667	62.576	-1030.2336	
42431.4583333333	63.317	-764.899199999988	
42431.46875	64.082	-538.704000000003	
42431.4791666667	64.847	-1304.8992	
42431.4895833333	65.612	-1101.6	
42431.5	66.377	-460.080000000002	
42431.5104166667	67.142	-368.582399999997	
42431.5208333333	67.907	-673.660800000005	
42431.53125	68.672	-919.079999999999	
42431.5416666667	69.311	-986.428799999997	
42431.5520833333	69.806	-1245.24000000001	
42431.5625	70.301	-1395.36	
42431.5729166667	70.796	-1580.03999999999	
