Date	OADryBulbTemperature(NOAA)	ZoneLoadforContainerFPVAV29	
42470.375	66.251	185.76	
42474.5	66.251	2055.24	
42482.3645833333	66.272	1461.24	
42474.5729166667	66.284	3767.04	
42481.46875	66.30125	1771.2	
42473.5104166667	66.35	2280.96	
42474.59375	66.35	3507.84	
42472.8125	66.365	641.52	
42462.5416666667	66.377	162	
42469.40625	66.392	194.4	
42481.4479166667	66.392	1652.4	
42484.3645833333	66.392	220.32	
42472.5104166667	66.416	1911.6	
42478.3229166667	66.4273684210526	210.6	
42472.2708333333	66.434	650.16	
42463.46875	66.458	224.64	
42478.4583333333	66.47	3507.84	
42468.3958333333	66.482	2316.6	
42480.5416666667	66.482	2667.6	
42487.3645833333	66.536	264.6	
42474.7916666667	66.5454054054054	537.84	
42473.5208333333	66.575	2229.12	
42474.6041666667	66.575	2475.36	
42479.3854166667	66.5803773584906	2625.48	
42481.2916666667	66.5884210526316	307.8	
42472.8020833333	66.59	959.04	
42473.7708333333	66.5911538461538	884.52	
42476.3229166667	66.6533333333333	613.44	
42481.53125	66.656	2125.44	
42475.5104166667	66.68	1609.2	
42472.5208333333	66.686	2457	
42472.2604166667	66.704	1371.6	
42481.4583333333	66.723125	1641.6	
42483.3541666667	66.734	286.2	
42478.28125	66.74	383.4	
42470.3854166667	66.746	216	
42474.5104166667	66.746	1782	
42474.5625	66.779	3450.6	
42473.53125	66.8	2280.96	
42474.6145833333	66.8	2221.56	
42472.7916666667	66.815	583.2	
42472.25	66.92	1686.96	
42473.5416666667	66.92	1814.4	
42474.625	66.92	2436.48	
42474.6354166667	66.92	1868.4	
42474.6458333333	66.92	2190.24	
42474.65625	66.92	2449.44	
42474.6666666667	66.92	2306.88	
42474.6770833333	66.92	1954.8	
42474.6875	66.92	2345.76	
42474.6979166667	66.92	2449.44	
42474.7083333333	66.92	1419.12	
42474.71875	66.92	1185.84	
42474.7291666667	66.92	1176.12	
42474.7395833333	66.92	831.6	
42474.78125	66.92	563.76	
42478.2916666667	66.92	318.6	
42478.3020833333	66.92	178.2	
42478.3125	66.92	200.88	
42478.46875	66.92	2019.6	
42481.28125	66.92	768.96	
42481.5416666667	66.92	2293.92	
42481.5520833333	66.92	1803.6	
42488.25	66.92	155.52	
42488.2604166667	66.92	291.6	
42473.7083333333	67.046	2566.08	
42473.6979166667	67.064	2019.6	
42472.53125	67.136	2872.8	
42479.3958333333	67.1407547169811	2892.24	
42462.5520833333	67.142	155.52	
42473.7604166667	67.1623076923077	1273.32	
42473.5520833333	67.1624489795918	1944	
42469.4166666667	67.172	237.6	
42476.3333333333	67.172	648	
42465.4270833333	67.184	2867.4	
42472.78125	67.208	889.92	
42470.3958333333	67.241	216	
42474.5208333333	67.241	1771.2	
42474.5520833333	67.274	3114.72	
42484.375	67.277	362.88	
42487.375	67.277	313.2	
42474.75	67.298	718.2	
42488.2708333333	67.31	340.2	
42473.71875	67.316	2449.44	
42464.4479166667	67.328	1587.6	
42473.6875	67.334	2332.8	
42474.7708333333	67.3442857142857	695.52	
42478.4791666667	67.352	2007.72	
42478.2708333333	67.388	345.6	
42462.7916666667	67.412	110.16	
42468.40625	67.472	1801.44	
42480.5520833333	67.472	3191.4	
42463.4791666667	67.493	232.2	
42473.5625	67.4930612244898	2319.84	
42475.5208333333	67.505	1865.16	
42482.375	67.508	1746.36	
42473.7291666667	67.586	2371.68	
42473.6770833333	67.604	2371.68	
42466.4583333333	67.634	1576.8	
42479.40625	67.7011320754717	2345.76	
42469.4270833333	67.712	248.4	
42476.34375	67.712	388.8	
42473.75	67.7334615384615	1399.68	
42470.40625	67.736	165.24	
42474.53125	67.736	2319.84	
42467.4166666667	67.739	370.44	
42472.7708333333	67.748	786.24	
42488.28125	67.76	187.92	
42474.5416666667	67.769	3288.6	
42478.4895833333	67.8148571428572	1857.6	
42473.5729166667	67.8236734693878	2319.84	
42473.7395833333	67.856	2190.24	
42473.6666666667	67.874	2319.84	
42462.5625	67.907	171.72	
42474.7604166667	67.9228571428571	453.6	
42478.2604166667	67.928	399.6	
42470.4166666667	68	216	
42473.5833333333	68	2306.88	
42473.59375	68	2332.8	
42473.6041666667	68	2332.8	
42473.6145833333	68	2293.92	
42473.625	68	2332.8	
42473.6354166667	68	1933.2	
42473.6458333333	68	2376	
42473.65625	68	2449.44	
42478.25	68	1273.32	
42478.5	68	1846.8	
42481.5625	68	2293.92	
42488.2916666667	68	241.92	
42488.3020833333	68	291.6	
42488.3125	68	313.2	
42488.3229166667	68	434.16	
42490.2916666667	68	334.8	
42490.3020833333	68	276.48	
42484.3854166667	68.042	343.44	
42487.3854166667	68.042	165.24	
42472.5416666667	68.126	2229.12	
42485.25	68.126	280.8	
42462.78125	68.144	59.4	
42478.5208333333	68.144	2216.16	
42488.3333333333	68.231	340.2	
42469.4375	68.252	275.4	
42476.3541666667	68.252	691.2	
42483.3645833333	68.264	259.2	
42472.7604166667	68.288	861.84	
42468.4166666667	68.357	1620	
42472.5520833333	68.396	2203.2	
42485.2604166667	68.396	291.6	
42462.7708333333	68.414	60.48	
42480.5625	68.462	3321	
42475.53125	68.4628571428571	2021.76	
42470.4270833333	68.5109677419355	220.32	
42463.4895833333	68.528	105.84	
42464.4583333333	68.588	1380.24	
42472.5625	68.666	2319.84	
42485.2708333333	68.666	152.28	
42462.5729166667	68.672	52.92	
42463.8229166667	68.672	166.32	
42462.7604166667	68.684	51.84	
