SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
49.85,44505,40248,1167.9,3088.8,836.05,400,0.68828,0.61379,0.028066,0.046425
49.9,44480,40243,1169.7,3067.2,837.94,400,0.68792,0.61371,0.028109,0.0461
49.95,44455,40238,1171.5,3045.6,839.84,400,0.68755,0.61363,0.028152,0.045775
50,44430,40233,1173.3,3024,841.75,400,0.6872,0.61355,0.028196,0.045451
50.05,44405,40228,1175.1,3002.4,843.67,400,0.68684,0.61347,0.02824,0.045126
50.1,44380,40223,1176.9,2980.8,845.59,400,0.68648,0.6134,0.028284,0.044801
50.15,44356,40218,1178.8,2959.2,847.53,400,0.68613,0.61332,0.028328,0.044477
50.2,44331,40213,1180.6,2937.6,849.47,400,0.68577,0.61325,0.028373,0.044152
50.25,44307,40208,1182.5,2916,851.43,400,0.68542,0.61318,0.028418,0.043827
50.3,44282,40204,1184.4,2894.4,853.39,400,0.68507,0.61311,0.028464,0.043503
50.35,44258,40199,1186.3,2872.8,855.36,400,0.68472,0.61304,0.028509,0.043178
50.4,44234,40195,1188.2,2851.2,857.34,400,0.68438,0.61297,0.028555,0.042854
50.45,44210,40190,1190.2,2829.6,859.33,400,0.68403,0.6129,0.028602,0.042529
50.5,44186,40186,1192.1,2808,861.33,400,0.68369,0.61283,0.028648,0.042204
50.55,44162,40182,1194.1,2786.4,863.33,400,0.68334,0.61277,0.028695,0.04188
50.6,44138,40177,1196,2764.8,865.35,400,0.683,0.61271,0.028743,0.041555
50.65,44115,40173,1198,2743.2,867.38,400,0.68266,0.61264,0.02879,0.04123
50.7,44091,40169,1200,2721.6,869.41,400,0.68233,0.61258,0.028838,0.040906
50.75,44067,40165,1202,2700,871.46,400,0.68199,0.61252,0.028887,0.040581
50.8,44044,40162,1204.1,2678.4,873.52,400,0.68166,0.61246,0.028936,0.040256
50.85,44021,40158,1206.1,2656.8,875.58,400,0.68132,0.61241,0.028985,0.039932
50.9,43997,40154,1208.1,2635.2,877.65,400,0.68099,0.61235,0.029034,0.039607
